player,player_norm,team,goals_total,xg_total,shots_total,shots_on_target_pct,league_difficulty,minutes,goals_per90,xg_per90,npxg_per90,shots_per90
G. Sağlam,g saglam,Türkiye,3.9999999999999996,0.0,31.999999999999996,0.0,0.72,2392.0,0.15050167224080266,0.0,0.0,1.2040133779264213
G. Til,g til,Netherlands,20.000000000000004,0.0,106.0,0.0,0.78,4044.0,0.4451038575667657,0.0,0.0,2.3590504451038576
G. Wijnaldum,g wijnaldum,Netherlands,14.0,0.0,45.00000000000001,0.0,0.35,2919.0,0.43165467625899284,0.0,0.0,1.3874614594039059
G. de Arrascaeta,g de arrascaeta,Uruguay,5.0,0.0,21.000000000000004,0.0,0.74,1008.0,0.44642857142857145,0.0,0.0,1.8750000000000004
G. Ávalos,g avalos,Paraguay,10.0,0.0,74.00000000000001,0.0,0.7,3259.0,0.27615833077631174,0.0,0.0,2.0435716477447077
Gabriel Pec,gabriel pec,Brazil,37.99999999999999,0.0,210.0,0.0,0.52,6366.0,0.537229029217719,0.0,0.0,2.9688972667295004
Gabriel Sara,gabriel sara,Brazil,2.0,0.0,38.00000000000001,0.0,0.72,2271.0,0.07926023778071334,0.0,0.0,1.5059445178335538
Galeno,galeno,Brazil,7.999999999999999,0.0,39.99999999999999,0.0,0.82,1451.0,0.49620951068228797,0.0,0.0,2.4810475534114396
Gerson,gerson,Brazil,3.0,0.0,26.0,0.0,0.74,2459.0,0.10980073200488003,0.0,0.0,0.9516063440422936
Gonçalo Ramos,goncalo ramos,Portugal,10.0,0.0,52.0,0.0,1.0,1062.0,0.847457627118644,0.0,0.0,4.406779661016949
Guilherme,guilherme,Brazil,0.0,0.0,6.0,0.0,0.72,3000.0,0.0,0.0,0.0,0.18
Guilherme Schettine,guilherme schettine,Brazil,5.000000000000001,0.0,38.0,0.0,0.82,1702.0,0.26439482961222094,0.0,0.0,2.009400705052879
Gustavo Scarpa,gustavo scarpa,Brazil,4.0,0.0,45.00000000000001,0.0,0.74,2157.0,0.16689847009735745,0.0,0.0,1.8776077885952716
Gustavo Sá,gustavo sa,Portugal,4.0,0.0,27.0,0.0,0.82,2550.0,0.1411764705882353,0.0,0.0,0.9529411764705883
H. Aouar,h aouar,Algeria,12.0,0.0,39.99999999999999,0.0,0.35,2449.0,0.44099632503062475,0.0,0.0,1.4699877501020822
H. Ekitike,h ekitike,France,30.000000000000004,0.0,174.0,0.0,1.0,5162.0,0.5230530802014723,0.0,0.0,3.033707865168539
H. Hajradinović,h hajradinovic,Bosnia and Herzegovina,9.0,0.0,58.0,0.0,0.7200000000000001,2897.0,0.27959958577839145,0.0,0.0,1.8018639972385226
H. Kane,h kane,England,52.0,0.0,180.0,0.0,1.0,4778.0,0.9794893260778569,0.0,0.0,3.3905399748848892
H. Martín,h martin,Mexico,20.0,0.0,56.0,0.0,0.54,4696.0,0.3833049403747871,0.0,0.0,1.0732538330494037
H. Mukhtar,h mukhtar,Germany,8.0,0.0,54.0,0.0,0.52,2751.0,0.2617230098146129,0.0,0.0,1.766630316248637
H. Traorè,h traore,Ivory Coast,10.000000000000002,0.0,54.00000000000001,0.0,1.0,2106.0,0.42735042735042744,0.0,0.0,2.307692307692308
H. Vanaken,h vanaken,Belgium,18.0,0.0,81.99999999999999,0.0,0.76,6530.0,0.24808575803981622,0.0,0.0,1.130168453292496
H. Wright,h wright,United States,12.0,0.0,52.00000000000001,0.0,0.68,2157.0,0.5006954102920723,0.0,0.0,2.169680111265647
H. Çalhanoğlu,h calhanoglu,Türkiye,5.0,0.0,32.00000000000001,0.0,1.0,1961.0,0.22947475777664458,0.0,0.0,1.4686384497705256
Hugo Duro,hugo duro,Spain,11.0,0.0,37.99999999999999,0.0,1.0,2171.0,0.45601105481345,0.0,0.0,1.5753109166282815
Hulk,hulk,Brazil,20.0,0.0,96.0,0.0,0.74,3652.0,0.4928806133625411,0.0,0.0,2.3658269441401973
I. Fernández,i fernandez,Argentina,2.0,0.0,17.0,0.0,0.7,1640.0,0.10975609756097561,0.0,0.0,0.9329268292682927
I. Perišić,i perisic,Croatia,18.0,0.0,64.0,0.0,0.78,3608.0,0.44900221729490025,0.0,0.0,1.5964523281596452
I. Ramírez,i ramirez,Uruguay,12.0,0.0,52.99999999999999,0.0,0.7,2750.0,0.3927272727272727,0.0,0.0,1.7345454545454542
I. Rivero,i rivero,Uruguay,15.000000000000002,0.0,63.0,0.0,0.54,2591.0,0.5210343496719414,0.0,0.0,2.1883442686221537
I. Saibari,i saibari,Morocco,21.999999999999996,0.0,116.0,0.0,0.7800000000000001,3572.0,0.5543113101903694,0.0,0.0,2.9227323628219484
I. Toney,i toney,England,23.0,0.0,97.0,0.0,0.35,2533.0,0.8172127911567311,0.0,0.0,3.4465061192262136
I. Williams,i williams,Ghana,6.0,0.0,48.0,0.0,1.0,2653.0,0.2035431586882774,0.0,0.0,1.6283452695062193
Iago Aspas,iago aspas,Spain,10.0,0.0,44.0,0.0,1.0,1745.0,0.5157593123209169,0.0,0.0,2.2693409742120343
Igor Paixão,igor paixao,Brazil,31.999999999999996,0.0,158.0,0.0,0.7800000000000001,5762.0,0.4998264491496007,0.0,0.0,2.467893092676154
Isco,isco,Spain,9.0,0.0,23.0,0.0,1.0,1551.0,0.5222437137330754,0.0,0.0,1.3346228239845261
J. Angulo,j angulo,Mexico,9.0,0.0,41.0,0.0,0.54,2295.0,0.35294117647058826,0.0,0.0,1.607843137254902
J. Anthony,j anthony,England,8.0,0.0,67.0,0.0,0.68,3675.0,0.19591836734693877,0.0,0.0,1.6408163265306122
J. Bakayoko,j bakayoko,Belgium,9.0,0.0,40.99999999999999,0.0,0.78,1590.0,0.5094339622641509,0.0,0.0,2.3207547169811313
J. Bellingham,j bellingham,England,9.0,0.0,46.0,0.0,1.0,2493.0,0.3249097472924188,0.0,0.0,1.660649819494585
J. Bowen,j bowen,England,26.0,0.0,117.99999999999999,0.0,1.0,5958.0,0.39274924471299094,0.0,0.0,1.782477341389728
J. Brandt,j brandt,Germany,5.0,0.0,34.0,0.0,1.0,2318.0,0.19413287316652286,0.0,0.0,1.3201035375323555
J. Brownhill,j brownhill,England,35.99999999999999,0.0,102.0,0.0,0.68,6966.0,0.4651162790697673,0.0,0.0,1.317829457364341
J. Brunetta,j brunetta,Argentina,11.0,0.0,71.0,0.0,0.54,2743.0,0.36091870215092964,0.0,0.0,2.3295661684287277
