player,team,player_norm,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,team_intl_matches,intl_goal_rate,intl_goals_per_team_match,assists_total,xa_total,key_passes_total,progressive_passes_total,pass_completion_pct,minutes,xa_per90,key_passes_per90,progressive_passes_per90,playmaker_score,year
Anthony Gordon,England,anthony gordon,2,1.45,0,0,2,2025-10-14,44,1.0,0.045454545454545456,,,,,78.0,,0.2175,0.54375,0.435,0.15071448066126014,2026
Yasin Ayari,Sweden,yasin ayari,2,1.45,0,0,2,2025-09-05,40,1.0,0.05,,,,,78.0,,0.2175,0.54375,0.435,0.15071448066126014,2026
Orkun Kökçü,Türkiye,orkun kokcu,2,1.45,0,0,2,2025-03-20,42,1.0,0.047619047619047616,,,,,78.0,,0.2175,0.54375,0.435,0.15071448066126014,2026
Noa Lang,Netherlands,noa lang,2,1.45,0,0,2,2025-06-10,43,1.0,0.046511627906976744,,,,,78.0,,0.2175,0.54375,0.435,0.15071448066126014,2026
Joško Gvardiol,Croatia,josko gvardiol,2,1.45,0,0,2,2025-11-14,40,1.0,0.05,,,,,78.0,,0.2175,0.54375,0.435,0.15071448066126014,2026
Adam Hložek,Czechia,adam hlozek,2,1.45,0,0,2,2025-06-06,40,1.0,0.05,,,,,78.0,,0.2175,0.54375,0.435,0.15071448066126014,2026
Teun Koopmeiners,Netherlands,teun koopmeiners,2,1.45,0,0,2,2024-11-16,43,1.0,0.046511627906976744,,,,,78.0,,0.2175,0.54375,0.435,0.15071448066126014,2026
Felix Horn Myhre,Norway,felix horn myhre,2,1.45,0,0,2,2025-09-09,37,1.0,0.05405405405405406,,,,,78.0,,0.2175,0.54375,0.435,0.15071448066126014,2026
Christopher Nkunku,France,christopher nkunku,2,1.45,0,0,2,2025-10-13,43,1.0,0.046511627906976744,,,,,78.0,,0.2175,0.54375,0.435,0.15071448066126014,2026
Abdülkerim Bardakcı,Türkiye,abdulkerim bardakc,2,1.45,0,0,2,2025-03-23,42,1.0,0.047619047619047616,,,,,78.0,,0.2175,0.54375,0.435,0.15071448066126014,2026
Bruno Fernandes,Portugal,bruno fernandes,12,9.85,2,1,9,2025-11-16,43,1.3333333333333333,0.27906976744186046,10.0,0.0,90.99999999999999,0.0,45.0,3024.0,0.0,2.7083333333333326,0.0,0.1477220695970696,2026
Nathanaël Mbuku,Congo DR,nathanael mbuku,2,1.35,0,0,2,2025-12-30,48,1.0,0.041666666666666664,,,,,78.0,,0.2025,0.5062500000000001,0.405,0.1467551076107299,2026
Chancel Mbemba,Congo DR,chancel mbemba,2,1.35,0,0,2,2025-11-13,48,1.0,0.041666666666666664,,,,,78.0,,0.2025,0.5062500000000001,0.405,0.1467551076107299,2026
Percy Tau,South Africa,percy tau,2,1.35,1,0,2,2024-01-21,52,1.0,0.038461538461538464,,,,,78.0,,0.2025,0.5062500000000001,0.405,0.1467551076107299,2026
Farès Chaïbi,Algeria,fares chaibi,2,1.35,0,0,2,2025-12-31,52,1.0,0.038461538461538464,,,,,78.0,,0.2025,0.5062500000000001,0.405,0.1467551076107299,2026
Hamza Rafia,Tunisia,hamza rafia,2,1.35,0,0,2,2024-01-20,49,1.0,0.04081632653061224,,,,,78.0,,0.2025,0.5062500000000001,0.405,0.1467551076107299,2026
