player,team,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,intl_goal_rate,team_intl_matches,intl_goals_per_team_match,player_norm
Nicolás Otamendi,Argentina,3,2.55,0,0,3,2024-10-10,1.0,40,0.075,nicolas otamendi
Nicolás de la Cruz,Uruguay,3,2.55,0,0,2,2023-10-17,1.5,42,0.07142857142857142,nicolas de la cruz
Nishan Velupillay,Australia,3,2.55,0,0,3,2025-03-25,1.0,40,0.075,nishan velupillay
Olivier Giroud,France,3,2.55,0,0,2,2023-11-18,1.5,42,0.07142857142857142,olivier giroud
Koki Ogawa,Japan,3,2.55,0,0,2,2024-09-10,1.5,41,0.07317073170731707,koki ogawa
Serge Gnabry,Germany,3,2.55,0,0,3,2025-11-17,1.0,42,0.07142857142857142,serge gnabry
Jamie Maclaren,Australia,3,2.55,0,0,1,2023-11-16,3.0,40,0.075,jamie maclaren
Rangelo Janga,Curaçao,3,2.55,1,0,1,2024-06-05,3.0,36,0.08333333333333333,rangelo janga
Renato Steffen,Switzerland,3,2.55,0,0,1,2023-03-25,3.0,41,0.07317073170731707,renato steffen
Rodrigo Aguirre,Uruguay,3,2.55,0,0,3,2025-09-04,1.0,42,0.07142857142857142,rodrigo aguirre
Rodrygo,Brazil,3,2.55,0,0,2,2024-09-06,1.5,39,0.07692307692307693,rodrygo
Anthony Elanga,Sweden,3,2.55,0,0,3,2026-03-31,1.0,40,0.075,anthony elanga
Otabek Shukurov,Uzbekistan,3,2.55,1,0,2,2024-10-15,1.5,44,0.06818181818181818,otabek shukurov
José Luis Rodríguez,Panama,3,2.55,0,0,3,2025-11-18,1.0,57,0.05263157894736842,jose luis rodriguez
Musab Al-Juwayr,Saudi Arabia,3,2.55,0,0,3,2025-06-05,1.0,58,0.05172413793103448,musab aljuwayr
Eberechi Eze,England,3,2.55,0,0,3,2025-11-13,1.0,42,0.07142857142857142,eberechi eze
Ahmed Al-Rawi,Qatar,3,2.55,0,0,3,2025-03-20,1.0,52,0.057692307692307696,ahmed alrawi
Kenji Gorré,Curaçao,3,2.55,0,0,3,2025-10-14,1.0,36,0.08333333333333333,kenji gorre
Kōki Ogawa,Japan,3,2.55,0,0,2,2024-11-19,1.5,41,0.07317073170731707,koki ogawa
Juninho Bacuna,Curaçao,3,2.55,0,0,3,2025-11-13,1.0,36,0.08333333333333333,juninho bacuna
Thiago Almada,Argentina,3,2.55,0,0,3,2025-06-10,1.0,40,0.075,thiago almada
Virgil van Dijk,Netherlands,3,2.55,1,0,3,2025-10-12,1.0,42,0.07142857142857142,virgil van dijk
Ali Al-Hamadi,Iraq,3,2.55,0,0,3,2026-03-31,1.0,50,0.06,ali alhamadi
Marcus Rashford,England,3,2.55,1,0,3,2025-09-09,1.0,42,0.07142857142857142,marcus rashford
Charles De Ketelaere,Belgium,3,2.55,0,0,2,2025-11-18,1.5,40,0.075,charles de ketelaere
Haris Tabaković,Bosnia and Herzegovina,3,2.55,0,0,3,2026-03-31,1.0,35,0.08571428571428572,haris tabakovic
Calvin Stengs,Netherlands,3,2.55,0,0,1,2023-11-21,3.0,42,0.07142857142857142,calvin stengs
João Neves,Portugal,3,2.55,0,0,1,2025-11-16,3.0,41,0.07317073170731707,joao neves
Elias Saad,Tunisia,3,2.55,0,0,2,2025-10-10,1.5,48,0.0625,elias saad
Thomas Partey,Ghana,3,2.55,0,0,2,2025-10-08,1.5,39,0.07692307692307693,thomas partey
Francisco Conceição,Portugal,3,2.45,0,1,3,2025-11-16,1.0,41,0.07317073170731707,francisco conceicao
Romano Schmid,Austria,3,2.45,0,1,3,2025-10-09,1.0,40,0.075,romano schmid
Tim Kleindienst,Germany,4,2.4,0,0,3,2025-03-23,1.3333333333333333,42,0.09523809523809523,tim kleindienst
Omar Marmoush,Egypt,4,2.35,1,0,4,2026-01-10,1.0,49,0.08163265306122448,omar marmoush
Pape Gueye,Senegal,4,2.35,0,0,3,2026-01-03,1.3333333333333333,47,0.0851063829787234,pape gueye
Riyad Mahrez,Algeria,4,2.35,1,0,3,2025-12-28,1.3333333333333333,51,0.0784313725490196,riyad mahrez
Amad Diallo,Ivory Coast,4,2.35,0,0,4,2026-01-06,1.0,47,0.0851063829787234,amad diallo
Ryan Christie,Scotland,3,2.3,0,0,3,2025-11-15,1.0,39,0.07692307692307693,ryan christie
Leroy Sané,Germany,3,2.3,0,0,2,2025-11-17,1.5,42,0.07142857142857142,leroy sane
Stefan Posch,Austria,3,2.3,0,0,2,2025-10-09,1.5,40,0.075,stefan posch
Bruno Petković,Croatia,3,2.3,0,0,2,2023-09-08,1.5,39,0.07692307692307693,bruno petkovic
Pedri,Spain,3,2.3,0,0,2,2025-09-07,1.5,43,0.06976744186046512,pedri
Youssef En-Nesyri,Morocco,3,2.2,0,0,3,2025-10-14,1.0,53,0.05660377358490566,youssef ennesyri
Evann Guessand,Ivory Coast,3,2.2,0,0,3,2025-12-31,1.0,47,0.06382978723404255,evann guessand
Jamiro Monteiro,Cape Verde,3,2.2,0,0,3,2024-06-08,1.0,42,0.07142857142857142,jamiro monteiro
Yan Diomande,Ivory Coast,3,2.2,0,0,3,2026-01-06,1.0,47,0.06382978723404255,yan diomande
Théo Bongonda,Congo DR,3,2.2,0,0,3,2025-12-23,1.0,47,0.06382978723404255,theo bongonda
Meschak Elia,Congo DR,3,2.2,0,0,3,2025-11-16,1.0,47,0.06382978723404255,meschak elia
Hakim Ziyech,Morocco,3,2.2,1,0,3,2024-06-07,1.0,53,0.05660377358490566,hakim ziyech
Simon Adingra,Ivory Coast,3,2.2,0,0,3,2025-10-10,1.0,47,0.06382978723404255,simon adingra
Azzedine Ounahi,Morocco,3,2.2,0,0,3,2025-09-05,1.0,53,0.05660377358490566,azzedine ounahi
Alexander Djiku,Ghana,3,2.2,0,0,3,2025-10-08,1.0,39,0.07692307692307693,alexander djiku
Ousmane Dembélé,France,3,2.05,0,0,3,2025-03-23,1.0,42,0.07142857142857142,ousmane dembele
Philipp Lienhart,Austria,3,2.05,0,0,3,2024-10-13,1.0,40,0.075,philipp lienhart
İrfan Kahveci,Türkiye,3,2.05,0,0,3,2024-10-14,1.0,41,0.07317073170731707,irfan kahveci
Dejan Kulusevski,Sweden,3,2.05,0,0,2,2024-11-19,1.5,40,0.075,dejan kulusevski
Ermedin Demirović,Bosnia and Herzegovina,3,2.05,0,0,3,2025-03-24,1.0,35,0.08571428571428572,ermedin demirovic
Bradley Barcola,France,3,2.05,0,0,3,2025-09-09,1.0,42,0.07142857142857142,bradley barcola
Alireza Jahanbakhsh,Iran,2,2.0,2,2,2,2024-02-07,1.0,42,0.047619047619047616,alireza jahanbakhsh
Chris Richards,United States,2,2.0,0,2,2,2025-07-06,1.0,56,0.03571428571428571,chris richards
Henry Martín,Mexico,2,2.0,0,2,2,2023-07-12,1.0,60,0.03333333333333333,henry martin
Yoel Bárcenas,Panama,2,2.0,0,2,2,2023-07-08,1.0,57,0.03508771929824561,yoel barcenas
Santiago Giménez,Mexico,2,2.0,0,2,2,2023-07-16,1.0,60,0.03333333333333333,santiago gimenez
Luis Romo,Mexico,2,2.0,0,2,1,2023-06-25,2.0,60,0.03333333333333333,luis romo
Luis Chávez,Mexico,2,2.0,0,2,2,2023-07-12,1.0,60,0.03333333333333333,luis chavez
Maximiliano Araújo,Uruguay,2,2.0,0,2,2,2024-06-27,1.0,42,0.047619047619047616,maximiliano araujo
Rodrigo Bentancur,Uruguay,2,2.0,0,2,2,2024-07-13,1.0,42,0.047619047619047616,rodrigo bentancur
Michael Amir Murillo,Panama,2,2.0,0,2,2,2024-06-23,1.0,57,0.03508771929824561,michael amir murillo
Folarin Balogun,United States,2,2.0,0,2,2,2024-06-27,1.0,56,0.03571428571428571,folarin balogun
Daniel Muñoz,Colombia,2,2.0,0,2,2,2024-07-02,1.0,44,0.045454545454545456,daniel munoz
Orbelín Pineda,Mexico,2,2.0,1,2,2,2023-07-08,1.0,60,0.03333333333333333,orbelin pineda
Mahmoud Al-Mardi,Jordan,2,2.0,0,2,1,2024-01-15,2.0,53,0.03773584905660377,mahmoud almardi
