player,team,player_norm,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,team_intl_matches,intl_goal_rate,intl_goals_per_team_match,goals_total,xg_total,shots_total,shots_on_target_pct,league_difficulty,minutes,goals_per90,xg_per90,npxg_per90,shots_per90,has_club_stats,player_club_name,group,p_qualify,team_win_prob,progression_factor,expected_tournament_matches,group_difficulty,last5_win_rate,adj_xg_per90,adj_goals_per90,adj_shots_per90,player_skill,boot_score,predicted_goals,year,tournament_goals
Jonathan David,Canada,jonathan david,4,4.0,1,4,4,2025-06-29,46,1.0,0.08695652173913043,16.0,0.0,57.0,0.0,1.0,2558.0,0.5629397967161845,0.0,0.0,2.0054730258014075,True,J. David,B,0.945,0.0004,0.5249521767048361,4.46188,0.9592064876326297,0.3,0.0,0.5629397967161845,2.0054730258014075,0.2522310615880848,0.13240924481323668,2.46,2026,
Ollie Watkins,England,ollie watkins,2,1.6,0,1,2,2024-11-14,44,1.0,0.045454545454545456,32.0,0.0,134.0,0.0,1.0,5220.0,0.5517241379310345,0.0,0.0,2.310344827586207,True,O. Watkins,L,0.9792,0.086,0.7046125545885586,5.02028,0.8389605511245317,0.4,0.0,0.5517241379310345,2.310344827586207,0.18635872822249003,0.13131069956272362,2.55,2026,
Jesús Ferreira,United States,jesus ferreira,7,7.0,1,7,3,2023-07-12,57,2.3333333333333335,0.12280701754385964,,,,0.33,0.5,,0.09210526315789473,0.1043859649122807,0.1043859649122807,0.343859649122807,False,,D,0.9385,0.0071,0.5339178658977747,4.62307,0.935522539287431,0.2,0.1043859649122807,0.09210526315789473,0.343859649122807,0.24571906840632515,0.13119380061389443,0.84,2026,
Michael Gregoritsch,Austria,michael gregoritsch,11,8.75,0,1,11,2025-11-18,40,1.0,0.275,,,,0.33,0.5,,0.20625000000000002,0.23375,0.23375,0.77,False,,J,0.6875,0.0007,0.3844278726605783,3.86027,1.0091481991569633,0.4,0.23375,0.20625000000000002,0.77,0.3359031197468975,0.1291305217443513,1.58,2026,
Patrik Schick,Czechia,patrik schick,6,5.25,1,1,5,2026-03-26,40,1.2,0.15,21.000000000000004,0.0,58.0,0.0,1.0,1693.0,1.1163614884819848,0.0,0.0,3.0832841110454816,True,P. Schick,A,0.6028,0.0,0.3428606367600502,3.7752,1.0421210390461388,0.4,0.0,1.1163614884819848,3.0832841110454816,0.3742618174455753,0.1283196450443636,4.06,2026,
Donyell Malen,Netherlands,donyell malen,7,6.0,0,2,5,2025-11-17,43,1.4,0.16279069767441862,,,,0.33,0.5,,0.12209302325581396,0.13837209302325582,0.13837209302325582,0.4558139534883721,False,,F,0.9947,0.0178,0.5850760674151427,4.80814,0.8834891107854264,0.2,0.13837209302325582,0.12209302325581396,0.4558139534883721,0.2192613738941353,0.12828458237402193,1.16,2026,
Luis Suárez,Uruguay,luis suarez,1,1.0,0,1,1,2024-07-13,42,1.0,0.023809523809523808,42.00000000000001,0.0,150.0,0.0,0.52,4384.0,0.862226277372263,0.0,0.0,3.079379562043796,True,L. Suárez,H,0.9565,0.0092,0.5156058125735339,4.2684,0.930365535612178,0.2,0.0,0.862226277372263,3.079379562043796,0.24447816956629706,0.1260543652757208,3.21,2026,
Jean-Philippe Mateta,France,jeanphilippe mateta,2,1.7,0,0,2,2025-11-16,43,1.0,0.046511627906976744,14.0,0.0,53.0,0.0,1.0,2658.0,0.474040632054176,0.0,0.0,1.7945823927765236,True,J. Mateta,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.0,0.474040632054176,1.7945823927765236,0.1513320633587165,0.12451086424700301,2.35,2026,
Lee Kang-in,South Korea,lee kangin,8,7.25,0,3,6,2025-06-10,44,1.3333333333333333,0.18181818181818182,,,,0.33,0.5,,0.13636363636363635,0.15454545454545454,0.15454545454545454,0.509090909090909,False,,A,0.8512,0.0006,0.47566773780878235,4.18534,0.967896642645171,0.4,0.15454545454545454,0.13636363636363635,0.509090909090909,0.26028219787461854,0.12380784425491766,1.13,2026,
Omar Marmoush,Egypt,omar marmoush,4,2.35,1,0,4,2026-01-10,50,1.0,0.08,30.0,0.0,128.0,0.0,1.0,2910.0,0.9278350515463916,0.0,0.0,3.958762886597938,True,Omar Marmoush,G,0.7824,0.0002,0.41385450222653947,4.01242,0.989394317607225,0.2,0.0,0.9278350515463916,3.958762886597938,0.2989991438217562,0.12374214183251439,3.44,2026,
