player,team,minutes,goals,assists,def_actions,key_passes,carries,duels_total,duels_won,duel_win_rate,goals_assists_per90,def_per90,creation_per90,pot_score,year
Pablo Martín Páez Gavira,Spain,311.5,1.0,0.0,73.0,0.0,145.0,16.0,0.0,0.0,0.28892455858747995,21.091492776886035,4.189406099518459,0.24616751805716003,2022
Selim Amallah,Morocco,263.0,0.0,0.0,142.0,0.0,94.0,27.0,0.0,0.0,0.0,48.59315589353612,3.216730038022814,0.24611482866050988,2022
Luis Gerardo Chávez Magallón,Mexico,243.0,1.0,0.0,54.0,0.0,107.0,10.0,0.0,0.0,0.37037037037037035,20.0,3.9629629629629632,0.24593334640568107,2022
Woo-Yeong Jeong,South Korea,90.0,0.0,0.0,14.0,0.0,16.0,,,0.5,0.0,14.0,1.6,0.245207619640818,2022
Osman Bukari,Ghana,90.0,1.0,0.0,13.0,0.0,21.0,2.0,0.0,0.0,1.0,13.0,2.1,0.24391285165576662,2022
Seyed Hossein Hosseini,Iran,90.0,0.0,0.0,0.0,0.0,26.0,,,0.5,0.0,0.0,2.6,0.24384615384615382,2022
Ayase Ueda,Japan,90.0,0.0,0.0,16.0,0.0,14.0,,,0.5,0.0,16.0,1.4000000000000001,0.24333956192255787,2022
Strahinja Pavlović,Serbia,251.5,1.0,0.0,41.0,0.0,121.0,6.0,0.0,0.0,0.35785288270377735,14.671968190854871,4.330019880715707,0.2432583260945074,2022
Keylor Navas Gamboa,Costa Rica,131.5,0.0,0.0,1.0,0.0,37.0,,,0.5,0.0,0.6844106463878328,2.532319391634981,0.24323434297264748,2022
Jordan Brian Henderson,England,269.0,1.0,0.0,42.0,0.0,133.0,6.0,0.0,0.0,0.3345724907063197,14.052044609665428,4.4498141263940525,0.24281964066365733,2022
Ángel Fabián Di María Hernández,Argentina,334.5,1.0,0.0,39.0,0.0,184.0,3.0,0.0,0.0,0.26905829596412556,10.493273542600896,4.95067264573991,0.2426414664836262,2022
Yuki Soma,Japan,90.0,0.0,0.0,13.0,0.0,16.0,,,0.5,0.0,13.0,1.6,0.24253218104432678,2022
João Félix Sequeira,Portugal,258.5,1.0,0.0,40.0,0.0,125.0,6.0,0.0,0.0,0.3481624758220503,13.926499032882012,4.352030947775629,0.2407662971880389,2022
Timothy Weah,United States,218.5,1.0,0.0,31.0,0.0,102.0,5.0,0.0,0.0,0.41189931350114417,12.76887871853547,4.201372997711672,0.24072945046596833,2022
Abolfazl Jalali,Iran,90.0,0.0,0.0,0.0,0.0,25.0,,,0.5,0.0,0.0,2.5,0.24023668639053253,2022
Piotr Zieliński,Poland,247.0,1.0,0.0,58.0,0.0,102.0,9.0,0.0,0.0,0.3643724696356275,21.133603238866396,3.716599190283401,0.23927409196877633,2022
Zakaria Aboukhlal,Morocco,90.0,1.0,0.0,19.0,0.0,15.0,1.0,0.0,0.0,1.0,19.0,1.5,0.23830867850098617,2022
Christian Pulisic,United States,302.0,1.0,0.0,51.0,0.0,146.0,7.0,0.0,0.0,0.29801324503311255,15.198675496688741,4.350993377483444,0.23744591233363788,2022
Mathew Leckie,Australia,273.5,1.0,0.0,87.0,0.0,98.0,17.0,0.0,0.0,0.3290676416819013,28.62888482632541,3.224862888482633,0.2368708854446296,2022
Kingsley Coman,France,175.0,0.0,0.0,52.0,0.0,89.0,9.0,0.0,0.0,0.0,26.742857142857144,4.577142857142857,0.23675935400631754,2022
Chul Hong,South Korea,90.0,0.0,0.0,8.0,0.0,18.0,,,0.5,0.0,8.0,1.8,0.23637392297311324,2022
Marco Asensio Willemsen,Spain,229.5,1.0,0.0,31.0,0.0,107.0,3.0,0.0,0.0,0.3921568627450981,12.15686274509804,4.19607843137255,0.23626860689256501,2022
Mohamed Salisu,Ghana,228.0,1.0,0.0,36.0,0.0,102.0,13.0,0.0,0.0,0.39473684210526316,14.210526315789474,4.026315789473685,0.23597952761068036,2022
Moisés Isaac Caicedo Corozo,Ecuador,250.5,1.0,0.0,54.0,0.0,105.0,9.0,0.0,0.0,0.3592814371257485,19.40119760479042,3.7724550898203595,0.23597644325177114,2022
