player,team,intl_goals,intl_weighted_goals,intl_penalty_goals,intl_major_goals,intl_scoring_matches,intl_last_goal_date,intl_goal_rate,team_intl_matches,intl_goals_per_team_match,player_norm,xa_per90,key_passes_per90,progressive_passes_per90,pass_completion_pct,playmaker_score,year
Baghdad Bounedjah,Algeria,6,4.05,0,0,4,2025-09-04,1.5,51,0.11764705882352941,baghdad bounedjah,0.6074999999999999,1.5187499999999998,1.2149999999999999,78.0,0.19263392857142858,2026
Nico Williams,Spain,5,4.05,0,2,5,2025-06-05,1.0,43,0.11627906976744186,nico williams,0.6074999999999999,1.5187499999999998,1.2149999999999999,78.0,0.19263392857142858,2026
Gonçalo Ramos,Portugal,5,4.0,0,0,4,2025-11-16,1.25,41,0.12195121951219512,goncalo ramos,0.6,1.5,1.2,78.0,0.19062500000000004,2026
Jonathan David,Canada,4,4.0,1,4,4,2025-06-29,1.0,45,0.08888888888888889,jonathan david,0.6,1.5,1.2,78.0,0.19062500000000004,2026
Konrad Laimer,Austria,5,4.0,0,0,5,2025-10-09,1.0,40,0.125,konrad laimer,0.6,1.5,1.2,78.0,0.19062500000000004,2026
Ivan Perišić,Croatia,5,4.0,1,0,5,2025-11-17,1.0,39,0.1282051282051282,ivan perisic,0.6,1.5,1.2,78.0,0.19062500000000004,2026
Arda Güler,Türkiye,5,3.9,0,1,5,2025-10-11,1.0,41,0.12195121951219512,arda guler,0.585,1.4625,1.17,78.0,0.18660714285714286,2026
Elijah Just,New Zealand,5,3.9,0,0,5,2025-03-24,1.0,35,0.14285714285714285,elijah just,0.585,1.4625,1.17,78.0,0.18660714285714286,2026
Xavi Simons,Netherlands,5,3.9,1,1,5,2025-11-17,1.0,42,0.11904761904761904,xavi simons,0.585,1.4625,1.17,78.0,0.18660714285714286,2026
Hassan Al-Haydos,Qatar,4,3.85,0,3,4,2024-02-03,1.0,52,0.07692307692307693,hassan alhaydos,0.5775,1.44375,1.155,78.0,0.18459821428571432,2026
John McGinn,Scotland,5,3.75,0,0,5,2024-11-18,1.0,39,0.1282051282051282,john mcginn,0.5625,1.40625,1.125,78.0,0.18058035714285714,2026
Martin Boyle,Australia,4,3.7,2,2,4,2025-03-20,1.0,40,0.1,martin boyle,0.555,1.3875000000000002,1.11,78.0,0.1785714285714286,2026
Vinícius Júnior,Brazil,4,3.7,0,2,3,2025-06-10,1.3333333333333333,39,0.10256410256410256,vinicius junior,0.555,1.3875000000000002,1.11,78.0,0.1785714285714286,2026
Merih Demiral,Türkiye,4,3.7,0,2,2,2025-10-14,2.0,41,0.0975609756097561,merih demiral,0.555,1.3875000000000002,1.11,78.0,0.1785714285714286,2026
Jhon Córdoba,Colombia,4,3.7,0,2,4,2025-09-09,1.0,44,0.09090909090909091,jhon cordoba,0.555,1.3875000000000002,1.11,78.0,0.1785714285714286,2026
Ben Waine,New Zealand,6,3.7,1,0,4,2024-11-18,1.5,35,0.17142857142857143,ben waine,0.555,1.3875000000000002,1.11,78.0,0.1785714285714286,2026
James Rodríguez,Colombia,4,3.55,2,1,4,2025-09-04,1.0,44,0.09090909090909091,james rodriguez,0.5325,1.3312499999999998,1.065,78.0,0.17254464285714285,2026
Hidemasa Morita,Japan,4,3.55,0,1,3,2024-11-15,1.3333333333333333,41,0.0975609756097561,hidemasa morita,0.5325,1.3312499999999998,1.065,78.0,0.17254464285714285,2026
Ruben Vargas,Switzerland,4,3.55,0,1,4,2024-06-29,1.0,41,0.0975609756097561,ruben vargas,0.5325,1.3312499999999998,1.065,78.0,0.17254464285714285,2026
Ritsu Dōan,Japan,4,3.55,0,1,4,2024-06-11,1.0,41,0.0975609756097561,ritsu doan,0.5325,1.3312499999999998,1.065,78.0,0.17254464285714285,2026
Yoane Wissa,Congo DR,5,3.55,1,0,5,2025-09-09,1.0,47,0.10638297872340426,yoane wissa,0.5325,1.3312499999999998,1.065,78.0,0.17254464285714285,2026
Mohanad Ali,Iraq,4,3.55,0,1,4,2025-11-18,1.0,50,0.08,mohanad ali,0.5325,1.3312499999999998,1.065,78.0,0.17254464285714285,2026
Julio Enciso,Paraguay,4,3.55,1,1,4,2025-06-05,1.0,35,0.11428571428571428,julio enciso,0.5325,1.3312499999999998,1.065,78.0,0.17254464285714285,2026
Denzel Dumfries,Netherlands,5,3.5,0,0,5,2025-09-04,1.0,42,0.11904761904761904,denzel dumfries,0.525,1.3125,1.05,78.0,0.1705357142857143,2026
Antonio Nusa,Norway,5,3.5,0,0,4,2025-11-16,1.25,36,0.1388888888888889,antonio nusa,0.525,1.3125,1.05,78.0,0.1705357142857143,2026
Pavel Šulc,Czechia,5,3.5,0,0,4,2026-03-31,1.25,40,0.125,pavel sulc,0.525,1.3125,1.05,78.0,0.1705357142857143,2026
Tijjani Reijnders,Netherlands,5,3.5,0,0,5,2025-11-17,1.0,42,0.11904761904761904,tijjani reijnders,0.525,1.3125,1.05,78.0,0.1705357142857143,2026
Pape Matar Sarr,Senegal,4,3.4,0,0,4,2025-09-09,1.0,47,0.0851063829787234,pape matar sarr,0.51,1.275,1.02,78.0,0.16651785714285716,2026
Nick Woltemade,Germany,4,3.4,0,0,3,2025-11-17,1.3333333333333333,42,0.09523809523809523,nick woltemade,0.51,1.275,1.02,78.0,0.16651785714285716,2026
Luis Suárez,Colombia,4,3.4,0,0,1,2025-09-09,4.0,44,0.09090909090909091,luis suarez,0.51,1.275,1.02,78.0,0.16651785714285716,2026
Mohamed Ali Ben Romdhane,Tunisia,4,3.4,2,0,3,2025-10-10,1.3333333333333333,48,0.08333333333333333,mohamed ali ben romdhane,0.51,1.275,1.02,78.0,0.16651785714285716,2026
Granit Xhaka,Switzerland,4,3.4,2,0,4,2025-11-15,1.0,41,0.0975609756097561,granit xhaka,0.51,1.275,1.02,78.0,0.16651785714285716,2026
Oston Urunov,Uzbekistan,4,3.4,0,0,4,2024-09-10,1.0,44,0.09090909090909091,oston urunov,0.51,1.275,1.02,78.0,0.16651785714285716,2026
Oh Hyeon-gyu,South Korea,4,3.4,0,0,4,2025-06-10,1.0,44,0.09090909090909091,oh hyeongyu,0.51,1.275,1.02,78.0,0.16651785714285716,2026
Ladislav Krejčí,Czechia,4,3.4,0,0,4,2026-03-31,1.0,40,0.1,ladislav krejci,0.51,1.275,1.02,78.0,0.16651785714285716,2026
Julián Alvarez,Argentina,4,3.4,0,0,4,2025-06-05,1.0,40,0.1,julian alvarez,0.51,1.275,1.02,78.0,0.16651785714285716,2026
Dailon Livramento,Cape Verde,4,3.4,0,0,3,2025-10-13,1.3333333333333333,42,0.09523809523809523,dailon livramento,0.51,1.275,1.02,78.0,0.16651785714285716,2026
Antonio Sanabria,Paraguay,4,3.4,0,0,3,2024-11-14,1.3333333333333333,35,0.11428571428571428,antonio sanabria,0.51,1.275,1.02,78.0,0.16651785714285716,2026
Brahim Díaz,Morocco,6,3.35,2,0,6,2026-01-09,1.0,53,0.11320754716981132,brahim diaz,0.5025,1.2562499999999999,1.005,78.0,0.16450892857142857,2026
Remo Freuler,Switzerland,4,3.3,0,1,4,2024-10-15,1.0,41,0.0975609756097561,remo freuler,0.49499999999999994,1.2374999999999998,0.9899999999999999,78.0,0.16249999999999998,2026
Alexander Isak,Sweden,5,3.25,0,0,4,2024-11-16,1.25,40,0.125,alexander isak,0.4875,1.21875,0.975,78.0,0.16049107142857144,2026
Kosta Barbarouses,New Zealand,5,3.2,0,0,4,2025-03-24,1.25,35,0.14285714285714285,kosta barbarouses,0.48,1.2,0.96,78.0,0.15848214285714285,2026
