player,team,intl_goals,attack_score,player_norm,playmaker_score,group,p_qualify,team_win_prob,progression_factor,expected_tournament_matches,group_difficulty,last5_win_rate,pot_score,goals,assists,year
Raúl Jiménez,Mexico,3,0.12349616910581705,raul jimenez,0.1679039301310044,A,0.974,0.0058,0.5766691311626395,4.7517,0.8939859040304675,0.4,0.10411851891717663,3,0,2026
Eberechi Eze,England,3,0.09520125110189473,eberechi eze,0.1502183406113537,L,0.9792,0.086,0.7046125545885586,5.02028,0.8389605511245317,0.4,0.10342667013502006,3,0,2026
Sadio Mané,Senegal,8,0.07676199925446932,sadio mane,0.27598253275109175,I,0.8808,0.0061,0.4623331384498433,4.15597,0.9648094596226205,0.1,0.10301405832848481,8,0,2026
Pedri,Spain,3,0.06762815915283663,pedri,0.14039301310043667,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.10277706579856517,3,0,2026
Ruben Vargas,Switzerland,5,0.08539716917566079,ruben vargas,0.22292576419213977,B,0.9825,0.0016,0.5532199526628822,4.60884,0.8882525483921797,0.3,0.10157151062766903,5,0,2026
Takefusa Kubo,Japan,5,0.0858124898456124,takefusa kubo,0.22292576419213977,F,0.9734,0.0058,0.5480564732170767,4.39546,0.9508560125503036,0.4,0.10083979940283257,5,0,2026
Kai Havertz,Germany,4,0.08175761560451913,kai havertz,0.17576419213973798,E,0.9969,0.0417,0.650245893712998,4.97333,0.8515260278339488,0.4,0.09940487063380823,4,0,2026
Olivier Giroud,France,3,0.06717303739997296,olivier giroud,0.1502183406113537,I,0.9939,0.1691,0.822765919419623,5.32191,0.8353005113950214,0.2,0.09885527202346012,3,0,2026
Declan Rice,England,4,0.07243191079593991,declan rice,0.16397379912663756,L,0.9792,0.086,0.7046125545885586,5.02028,0.8389605511245317,0.4,0.0982408608906231,4,0,2026
Mehdi Ghayedi,Iran,5,0.08636054445076562,mehdi ghayedi,0.22882096069869,G,0.9475,0.0014,0.5233122094909591,4.2868200000000005,0.9426703219353165,0.4,0.0977592548309438,5,0,2026
Tijjani Reijnders,Netherlands,5,0.08143517908022022,tijjani reijnders,0.18755458515283846,F,0.9947,0.0178,0.5850760674151427,4.80814,0.8834891107854264,0.2,0.09716946333727097,5,0,2026
Martin Zubimendi,Spain,3,0.06445500517485135,martin zubimendi,0.13056768558951964,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.0967594452679187,3,0,2026
Daichi Kamada,Japan,5,0.07996859303186693,daichi kamada,0.21703056768558954,F,0.9734,0.0058,0.5480564732170767,4.39546,0.9508560125503036,0.4,0.09653972893209987,5,0,2026
Brahim Díaz,Morocco,6,0.07299784640290283,brahim diaz,0.18165938864628822,C,0.9971,0.0306,0.5854969411324322,4.46646,0.8664843408732645,0.3,0.09643020077012718,6,0,2026
Ante Budimir,Croatia,4,0.11460639033199342,ante budimir,0.1737991266375546,L,0.9235,0.0201,0.5201321511062831,4.31269,0.9163104686263878,0.2,0.09535310104915876,4,0,2026
Denzel Dumfries,Netherlands,5,0.07651445722826605,denzel dumfries,0.18755458515283846,F,0.9947,0.0178,0.5850760674151427,4.80814,0.8834891107854264,0.2,0.09443355100405378,5,0,2026
Ivan Perišić,Croatia,5,0.08735242028900021,ivan perisic,0.2072052401746725,L,0.9235,0.0201,0.5201321511062831,4.31269,0.9163104686263878,0.2,0.09328316875084733,5,0,2026
Leandro Trossard,Belgium,4,0.08178625941772555,leandro trossard,0.1737991266375546,G,0.9909,0.0233,0.612166188204343,4.82629,0.852835047601555,0.4,0.09313237247970464,4,0,2026
Malik Tillman,United States,3,0.11242175773656024,malik tillman,0.1679039301310044,D,0.9385,0.0071,0.5339178658977747,4.62307,0.935522539287431,0.2,0.09078074823589874,3,0,2026
Rodrigo Aguirre,Uruguay,3,0.11943775494136914,rodrigo aguirre,0.1502183406113537,H,0.9565,0.0092,0.5156058125735339,4.2684,0.930365535612178,0.2,0.08755869953030304,3,0,2026
Ritsu Dōan,Japan,4,0.0819011256989807,ritsu doan,0.18951965065502185,F,0.9734,0.0058,0.5480564732170767,4.39546,0.9508560125503036,0.4,0.08678937989503524,4,0,2026
Patrik Schick,Czechia,6,0.1283196450443636,patrik schick,0.25633187772925764,A,0.6028,0.0,0.3428606367600502,3.7752,1.0421210390461388,0.4,0.08444989585714704,6,0,2026
Christoph Baumgartner,Austria,7,0.08238108255727641,christoph baumgartner,0.2700873362445415,J,0.6875,0.0007,0.3844278726605783,3.86027,1.0091481991569633,0.4,0.0833947675486018,7,0,2026
Cole Palmer,England,1,0.10837896182966501,cole palmer,0.08930131004366812,L,0.9792,0.086,0.7046125545885586,5.02028,0.8389605511245317,0.4,0.08297577543550186,1,0,2026
Maxim De Cuyper,Belgium,4,0.06603105776460214,maxim de cuyper,0.16397379912663756,G,0.9909,0.0233,0.612166188204343,4.82629,0.852835047601555,0.4,0.0816278481624394,4,0,2026
Álex Baena,Spain,2,0.08832110641876409,alex baena,0.05,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.08128456478032693,2,0,2026
Hwang Hee-chan,South Korea,5,0.07146491397474583,hwang heechan,0.22292576419213977,A,0.8512,0.0006,0.47566773780878235,4.18534,0.967896642645171,0.4,0.08103511754706337,5,0,2026
Andreas Pereira,Brazil,1,0.11326664679078756,andreas pereira,0.08340611353711791,C,0.9973,0.0613,0.6735325361218968,4.94313,0.8591734339075576,0.4,0.08090004499319625,1,0,2026
Alexander Sørloth,Norway,10,0.11337091304045642,alexander srloth,0.35458515283842795,I,0.4703,0.0003,0.26417513167244566,3.57335,1.0703569104855832,0.3,0.0808449314987528,10,0,2026
Charles De Ketelaere,Belgium,3,0.07932474383349626,charles de ketelaere,0.1502183406113537,G,0.9909,0.0233,0.612166188204343,4.82629,0.852835047601555,0.4,0.08062088505181315,3,0,2026
Hidemasa Morita,Japan,4,0.0689111754611631,hidemasa morita,0.18951965065502185,F,0.9734,0.0058,0.5480564732170767,4.39546,0.9508560125503036,0.4,0.08002397449481925,4,0,2026
Miguel Borja,Colombia,1,0.14442324027817144,miguel borja,0.08930131004366812,K,0.9,0.0129,0.522522265762005,4.32737,0.9226621917351155,0.4,0.07943057128709274,1,0,2026
Enzo Fernández,Argentina,2,0.05214679949486968,enzo fernandez,0.11681222707423582,J,0.9939,0.2303,0.93756,5.51115,0.8090063407678881,0.4,0.07870877505305726,2,0,2026
Lee Jae-sung,South Korea,5,0.06639289436869102,lee jaesung,0.21703056768558954,A,0.8512,0.0006,0.47566773780878235,4.18534,0.967896642645171,0.4,0.07765192127142309,5,0,2026
Marcus Rashford,England,3,0.056675460215833764,marcus rashford,0.1502183406113537,L,0.9792,0.086,0.7046125545885586,5.02028,0.8389605511245317,0.4,0.07763004060372368,3,0,2026
Remo Freuler,Switzerland,4,0.06658707111513672,remo freuler,0.17969432314410483,B,0.9825,0.0016,0.5532199526628822,4.60884,0.8882525483921797,0.3,0.0774422432086001,4,0,2026
Niclas Füllkrug,Germany,3,0.0646109893167366,niclas fullkrug,0.15218340611353715,E,0.9969,0.0417,0.650245893712998,4.97333,0.8515260278339488,0.4,0.07704075083374852,3,0,2026
Jhon Córdoba,Colombia,4,0.06781993983913832,jhon cordoba,0.1954148471615721,K,0.9,0.0129,0.522522265762005,4.32737,0.9226621917351155,0.4,0.07695168572098676,4,0,2026
Granit Xhaka,Switzerland,4,0.06268242493138665,granit xhaka,0.18362445414847162,B,0.9825,0.0016,0.5532199526628822,4.60884,0.8882525483921797,0.3,0.07623500467490789,4,0,2026
Nicolás González,Argentina,2,0.049233421412090424,nicolas gonzalez,0.11681222707423582,J,0.9939,0.2303,0.93756,5.51115,0.8090063407678881,0.4,0.07611306041776804,2,0,2026
Alexis Mac Allister,Argentina,2,0.049233421412090424,alexis mac allister,0.11681222707423582,J,0.9939,0.2303,0.93756,5.51115,0.8090063407678881,0.4,0.07611306041776804,2,0,2026
Joshua Kimmich,Germany,4,0.04750199439187683,joshua kimmich,0.16397379912663756,E,0.9969,0.0417,0.650245893712998,4.97333,0.8515260278339488,0.4,0.0752558487797672,4,0,2026
Rodrygo,Brazil,3,0.0576742038315828,rodrygo,0.1502183406113537,C,0.9973,0.0613,0.6735325361218968,4.94313,0.8591734339075576,0.4,0.0748450823824375,3,0,2026
Tomáš Souček,Czechia,7,0.07470940165747389,tomas soucek,0.27991266375545854,A,0.6028,0.0,0.3428606367600502,3.7752,1.0421210390461388,0.4,0.07318796209532245,7,0,2026
Yeremy Pino,Spain,3,0.0692237281430166,yeremy pino,0.05,H,0.9971,0.2001,0.8802309486918911,5.394769999999999,0.7944446518839358,0.3,0.07316911748039388,3,0,2026
Trézéguet,Egypt,6,0.06275537326518309,trezeguet,0.23668122270742364,G,0.7824,0.0002,0.41385450222653947,4.01242,0.989394317607225,0.2,0.07298820551917869,6,0,2026
